PLAYER_NAME,TEAM_NAME,ACTION_TYPE,SHOT_ZONE_BASIC,LOC_X,LOC_Y,SHOT_MADE_FLAG
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-168,206,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,3,1,0
LeBron James,Cleveland Cavaliers,Putback Layup Shot,Restricted Area,0,-6,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-8,13,1
LeBron James,Cleveland Cavaliers,Running Finger Roll Layup Shot,Restricted Area,2,10,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-109,201,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-8,5,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,14,15,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-7,20,1
LeBron James,Cleveland Cavaliers,Running Layup Shot,Restricted Area,9,27,0
LeBron James,Cleveland Cavaliers,Layup Shot,In The Paint (Non-RA),27,63,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-27,292,0
LeBron James,Cleveland Cavaliers,Jump Shot,Left Corner 3,-222,68,0
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,2,5,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,7,14,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Above the Break 3,-209,134,0
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,68,185,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,82,85,1
LeBron James,Cleveland Cavaliers,Driving Reverse Layup Shot,Restricted Area,-11,0,1
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,-154,75,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-157,223,1
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,-144,80,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,123,17,0
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,8,11,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,135,211,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,4,13,1
LeBron James,Cleveland Cavaliers,Jump Shot,Left Corner 3,-235,85,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-14,254,0
LeBron James,Cleveland Cavaliers,Cutting Layup Shot,Restricted Area,-3,-1,1
LeBron James,Cleveland Cavaliers,Driving Dunk Shot,Restricted Area,-7,6,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-3,2,0
LeBron James,Cleveland Cavaliers,Running Dunk Shot,Restricted Area,-1,15,1
LeBron James,Cleveland Cavaliers,Cutting Dunk Shot,Restricted Area,-3,6,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-82,178,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,182,15,0
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,175,89,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,16,-2,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-163,84,1
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,In The Paint (Non-RA),76,134,0
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,Mid-Range,171,58,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Above the Break 3,-154,198,0
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,In The Paint (Non-RA),45,100,1
LeBron James,Cleveland Cavaliers,Tip Layup Shot,Restricted Area,0,-6,0
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,-4,15,0
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,23,19,1
LeBron James,Cleveland Cavaliers,Driving Dunk Shot,Restricted Area,1,-1,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-47,187,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-10,257,1
LeBron James,Cleveland Cavaliers,Jump Shot,In The Paint (Non-RA),-21,56,0
LeBron James,Cleveland Cavaliers,Running Layup Shot,Restricted Area,6,14,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-71,195,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-159,142,0
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,3,20,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,In The Paint (Non-RA),71,17,0
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,143,76,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-183,200,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,127,17,0
LeBron James,Cleveland Cavaliers,Layup Shot,In The Paint (Non-RA),-61,17,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-175,202,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,203,137,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,143,221,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-65,285,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,93,269,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-174,167,0
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,8,5,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,-2,19,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,14,14,1
LeBron James,Cleveland Cavaliers,Putback Layup Shot,Restricted Area,2,6,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-155,150,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,0,9,1
LeBron James,Cleveland Cavaliers,Driving Floating Bank Jump Shot,In The Paint (Non-RA),0,71,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-218,131,0
LeBron James,Cleveland Cavaliers,Tip Layup Shot,Restricted Area,0,-6,0
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,6,8,1
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,Above the Break 3,-77,274,0
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-112,157,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-180,226,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,In The Paint (Non-RA),44,23,1
LeBron James,Cleveland Cavaliers,Jump Bank Shot,In The Paint (Non-RA),58,104,0
LeBron James,Cleveland Cavaliers,Jump Bank Shot,Mid-Range,156,17,1
LeBron James,Cleveland Cavaliers,Floating Jump shot,In The Paint (Non-RA),-43,57,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,3,4,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,9,8,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,174,178,0
LeBron James,Cleveland Cavaliers,Turnaround Jump Shot,Mid-Range,-193,10,0
LeBron James,Cleveland Cavaliers,Cutting Layup Shot,Restricted Area,-7,4,1
LeBron James,Cleveland Cavaliers,Driving Floating Bank Jump Shot,In The Paint (Non-RA),-70,75,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,3,2,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,0,0,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-1,25,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-6,10,1
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,Restricted Area,-26,4,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-1,5,1
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,-3,1,0
LeBron James,Cleveland Cavaliers,Driving Dunk Shot,Restricted Area,-1,-11,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-3,10,1
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,In The Paint (Non-RA),24,107,0
LeBron James,Cleveland Cavaliers,Running Layup Shot,Restricted Area,18,10,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,-10,-4,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,14,4,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,In The Paint (Non-RA),-11,55,0
LeBron James,Cleveland Cavaliers,Tip Layup Shot,Restricted Area,0,-6,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Above the Break 3,41,263,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-78,161,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,1,173,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-218,-13,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-120,213,0
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,In The Paint (Non-RA),-52,71,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-20,248,1
LeBron James,Cleveland Cavaliers,Driving Finger Roll Layup Shot,Restricted Area,-3,15,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-200,161,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-149,227,0
LeBron James,Cleveland Cavaliers,Driving Dunk Shot,Restricted Area,2,11,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-145,216,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-2,17,1
LeBron James,Cleveland Cavaliers,Turnaround Jump Shot,Mid-Range,-122,108,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,163,44,0
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,In The Paint (Non-RA),-9,58,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-5,189,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-199,31,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Right Corner 3,233,31,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-166,228,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,-109,205,0
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,In The Paint (Non-RA),-68,54,0
LeBron James,Cleveland Cavaliers,Jump Shot,Left Corner 3,-225,8,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-3,-3,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-1,2,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-127,160,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-89,172,1
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-11,225,1
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,Mid-Range,-96,91,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-43,151,1
LeBron James,Cleveland Cavaliers,Putback Layup Shot,Restricted Area,-14,7,0
LeBron James,Cleveland Cavaliers,Layup Shot,Restricted Area,-1,5,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-2,0,1
LeBron James,Cleveland Cavaliers,Cutting Layup Shot,Restricted Area,8,6,0
LeBron James,Cleveland Cavaliers,Tip Layup Shot,Restricted Area,0,-6,1
LeBron James,Cleveland Cavaliers,Jump Shot,Mid-Range,136,42,1
LeBron James,Cleveland Cavaliers,Jump Bank Shot,Mid-Range,135,68,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-87,206,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,0,8,0
LeBron James,Cleveland Cavaliers,Step Back Jump shot,Mid-Range,-2,159,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-89,155,0
LeBron James,Cleveland Cavaliers,Cutting Dunk Shot,Restricted Area,11,-6,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-155,198,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,5,256,1
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,20,1,1
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-156,197,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Mid-Range,-156,64,0
LeBron James,Cleveland Cavaliers,Cutting Finger Roll Layup Shot,Restricted Area,14,11,1
LeBron James,Cleveland Cavaliers,Driving Dunk Shot,Restricted Area,-4,4,1
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,In The Paint (Non-RA),22,103,0
LeBron James,Cleveland Cavaliers,Reverse Layup Shot,Restricted Area,14,-4,1
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,-120,26,1
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,In The Paint (Non-RA),-25,101,0
LeBron James,Cleveland Cavaliers,Turnaround Hook Shot,In The Paint (Non-RA),-11,45,1
LeBron James,Cleveland Cavaliers,Driving Reverse Dunk Shot,Restricted Area,9,0,1
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-178,164,0
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,Mid-Range,154,75,1
LeBron James,Cleveland Cavaliers,Fadeaway Jump Shot,Mid-Range,173,34,0
LeBron James,Cleveland Cavaliers,Turnaround Fadeaway shot,Mid-Range,120,38,1
LeBron James,Cleveland Cavaliers,Running Jump Shot,Above the Break 3,-112,265,0
LeBron James,Cleveland Cavaliers,Alley Oop Dunk Shot,Restricted Area,2,15,1
LeBron James,Cleveland Cavaliers,Running Layup Shot,Restricted Area,16,2,1
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,In The Paint (Non-RA),-17,83,0
LeBron James,Cleveland Cavaliers,Driving Layup Shot,Restricted Area,-23,8,0
LeBron James,Cleveland Cavaliers,Jump Shot,Above the Break 3,-217,147,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,53,262,0
LeBron James,Cleveland Cavaliers,Driving Floating Jump Shot,Restricted Area,25,18,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,-141,232,0
LeBron James,Cleveland Cavaliers,Pullup Jump shot,Above the Break 3,112,249,1
